Poster,miniMax2.1,GPT-5.4mini,GLM5,Human
Avetisyan et al. (2023) - CCC SP23,DRN,DRN,DRN,DRN
Berbouti et al. (2025) - CCC FA25,BBM,BBM,BBM,BBM
Brown et al. (2025) - CCC SP25,DRM,DRM,DRM,DRM
Cabral et al. (2025) - CCC FA25,DRN,DRN,DRN,BBN
Camara et al. (2025) - LU SP25,BBM,BBM,BBM,BBM
Dehuelbes et al. (2025) - LU SP5,BBM,BBM,BBM,BBM
Diaz et al. (2025) - CCC SP25,BBO,BBO,BBO,BBO
Ford et al. (2023) - CCC SP23,BBO,BBO,BBO,BBO
Gill & Alcazar (2025) - CCC FA25,BBN,DRN,BBN,BBN
Godoy-Pena et al. (2025) - CCC FA25,BBN,BBN,BBN,BBO
Haubelt & Alcazar et al. (2025) - CCC FA25,DRN,DRN,DRN,DRN
Henriquez et al. (2025) - COD WI24,BBO,BBO,BBO,BBO
Holmes (2025) - CCC SP25,BBO,BBO,BBO,BBO
Lemus et al. (2025) - FA25 CCC,BBM,BBM,BBM,BBM
Logan et al. (2025) - CCC FA25,DRM,DRO,DRO,DRO
Luera et al. (2025) - CCC FA25,BBN,BBN,BBN,BBN
Meraz et al. (2023) - CCC SP23,BBO,BBO,BBO,BBO
Nii et al. (2025) - CCC FA25,BBM,BBM,BBM,BBM
Otala et al. (2025) - LU SP25,DRM,DRM,DRM,BBM
Paderna et al. (2025) - CCC SP25,DRO,DRO,DRO,DRO
Paramo-Ojeda et al. (2025) - CCC SP25,DRO,DRO,DRO,DRO
Pedireddi et al. (2025) - CCC SP25,BBM,BBM,BBM,BBM
Rodriguez (2025) - CCC SP25,DRM,DRM,DRM,DRM
Sakana et al. (2025) - CCC SP25,BBO,BBO,BBO,BBO
Trevino et al. (2022) - CCC SP22,DRM,DRM,DRM,DRM
Tuttle et al. (2025) - CCC SP25,BBO,BBM,BBM,BBM
Zlaket et al. (2023) - CCC SP23,BBO,DRM,BBO,BBO
