poster,motivations,categories,diseases
Avetisyan et al. (2023) - CCC SP23_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Infectious / Immune|Neurological / Neurodevelopmental,Autism spectrum disorder
Berbouti et al. (2025) - CCC FA25_cleaned.txt,Disease mechanism|Environmental/Population context|Human health application|Model organism validation|Technology demonstration,Cardiovascular / Circulatory|Metabolic / Endocrine,Diabetes / metabolic syndrome
Braga et al. (2025)- CCC FA25_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Neurological / Neurodevelopmental,none
Cabral et al. (2025) - CCC FA25_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Neurological / Neurodevelopmental,none
Camara et al. (2025) - LU SP25_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Cardiovascular / Circulatory|Metabolic / Endocrine|Neurological / Neurodevelopmental,Diabetes / metabolic syndrome
Dehuelbes et al. (2025) - LU SP5_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Infectious / Immune|Metabolic / Endocrine|Neurological / Neurodevelopmental,Diabetes / metabolic syndrome
Diaz et al. (2025) - CCC SP25_cleaned.txt,Disease mechanism|Environmental/Population context|Human health application|Model organism validation|Technology demonstration,Cancer / Growth control|Infectious / Immune|Neurological / Neurodevelopmental,Infectious disease
Ford et al. (2023) - CCC SP23_cleaned.txt,Human health application|Model organism validation|Technology demonstration,none,none
Gill & Alcazar (2025) - CCC FA25_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Neurological / Neurodevelopmental,none
Godoy-Pena et al. (2025) - CCC FA25_cleaned.txt,Disease mechanism|Environmental/Population context|Human health application|Model organism validation|Technology demonstration,Metabolic / Endocrine|Neurological / Neurodevelopmental,Diabetes / metabolic syndrome
Haubelt & Alcazar et al. (2025) - CCC FA25_cleaned.txt,Disease mechanism|Human health application|Model organism validation,Neurological / Neurodevelopmental,none
Henriquez et al. (2025) - COD WI24_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Cancer / Growth control|Infectious / Immune,Cancer|Infectious disease
Holmes (2025) - CCC SP25_cleaned.txt,Disease mechanism|Environmental/Population context|Human health application|Model organism validation|Technology demonstration,Metabolic / Endocrine|Neurological / Neurodevelopmental,none
Lemus et al. (2025) - FA25 CCC_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Metabolic / Endocrine,Diabetes / metabolic syndrome
Logan et al. (2025) - CCC FA25_cleaned.txt,Disease mechanism|Environmental/Population context|Human health application|Model organism validation|Technology demonstration,Cancer / Growth control|Cardiovascular / Circulatory|Infectious / Immune|Metabolic / Endocrine|Neurological / Neurodevelopmental,Cancer|Cardiovascular disease|Diabetes / metabolic syndrome
Luera et al. (2025) - CCC FA25_cleaned.txt,Disease mechanism|Model organism validation|Technology demonstration,Metabolic / Endocrine|Neurological / Neurodevelopmental,Diabetes / metabolic syndrome
Meraz et al. (2023) - CCC SP23_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Cancer / Growth control,Cancer
Nii et al. (2025) - CCC FA25_cleaned.txt,Disease mechanism|Environmental/Population context|Human health application|Model organism validation|Technology demonstration,Cancer / Growth control|Metabolic / Endocrine|Neurological / Neurodevelopmental,Cancer|Diabetes / metabolic syndrome
Otala et al. (2025) - LU SP25_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Cancer / Growth control|Infectious / Immune|Metabolic / Endocrine|Neurological / Neurodevelopmental,Cancer|Diabetes / metabolic syndrome|Infectious disease
Paderna et al. (2025) - CCC SP25_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Infectious / Immune,none
Paramo-Ojeda et al. (2025) - CCC SP25_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Cancer / Growth control|Metabolic / Endocrine,Cancer
Pedireddi et al. (2025) - CCC SP25_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Metabolic / Endocrine|Neurological / Neurodevelopmental,Diabetes / metabolic syndrome
Rodriguez (2025) - CCC SP25_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Cardiovascular / Circulatory|Metabolic / Endocrine|Neurological / Neurodevelopmental,Diabetes / metabolic syndrome
Sakana et al. (2025) - CCC SP25_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,none,none
Trevino et al. (2022) - CCC SP22_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Cardiovascular / Circulatory|Infectious / Immune|Metabolic / Endocrine|Neurological / Neurodevelopmental,Cardiovascular disease|Diabetes / metabolic syndrome|Infectious disease
Tuttle et al. (2025) - CCC SP25_cleaned.txt,Disease mechanism|Model organism validation|Technology demonstration,Infectious / Immune,none
Zlaket et al. (2023) - CCC SP23_cleaned.txt,Disease mechanism|Human health application|Model organism validation|Technology demonstration,Metabolic / Endocrine|Neurological / Neurodevelopmental,Diabetes / metabolic syndrome
